Name,Symptoms,Treatments,Disease_Code,Contagious,Chronic
Antihypertensives Poisoning,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting","Immediate medical attention, activated charcoal administration, supportive care, specific antidotes",D131,False,False
Hypothyroidism,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management",D132,True,True
Oral Leukoplakia,"White patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","Regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support",D133,False,True
Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp","Topical antifungal creams or ointments, medicated shampoos, corticosteroid creams",D134,False,False
Hydrocephalus,"Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants","Shunt placement (to divert excess cerebrospinal fluid), endoscopic third ventriculostomy, medication (in some cases)",D135,False,True
Marijuana Abuse,"Impaired memory and cognition, altered judgment, anxiety","Behavioral therapy, counseling, support groups, medication, detoxification",D136,False,True
Chronic Otitis Media,"Ear pain, hearing loss, recurrent ear infections","Antibiotics, ear drops, surgical intervention (in some cases)",D137,False,False
Pterygium,Growth on the conjunctiva (white part of the eye),"Artificial tears, eye lubricants, surgical removal (in severe cases)",D138,False,False
Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","Treating underlying liver disease, medications to manage symptoms, dietary modifications",D139,False,True
Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Nonsteroidal anti-inflammatory drugs (NSAIDs), pain relievers, local heat or ice application, avoiding activities that worsen symptoms, supportive measures (such as wearing loose clothing or using supportive pillows), physical therapy (to improve posture and strengthen muscles), corticosteroid injections (in some cases), stress reduction techniques",D140,False,True
Nose Disorder,"Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell","Treatment depends on the underlying cause (such as allergies, sinusitis, or nasal polyps), and may include medications (such as decongestants, antihistamines, nasal sprays), saline nasal irrigation, steam inhalation, allergy management, antibiotics (if bacterial infection is present), surgical intervention (in some cases)",D141,True,True
Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",D142,False,False
Protein Deficiency,"Muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","Increasing protein intake through diet (lean meats, fish, dairy, legumes, nuts), protein supplements, nutritional counseling, addressing underlying causes (e.g., malabsorption)",D143,True,False
Thrombocytopenia,"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding","Treatment of underlying cause, platelet transfusion (if severe), medication (corticosteroids, immunosuppressants), avoiding medications that can worsen platelet counts",D144,False,True
Alopecia,"Hair loss or balding, patchy or generalized hair loss","Topical medications (minoxidil), oral medications (finasteride), steroid injections, hair transplant surgery, wigs or hairpieces",D145,False,True
Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue","Low-dose corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs)",D146,True,False
Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","Surgery, chemotherapy, radiation therapy, targeted therapy",D147,True,True
Preeclampsia,"High blood pressure, proteinuria, swelling, headaches, visual disturbances","Bed rest, blood pressure monitoring, frequent prenatal visits, medication (such as antihypertensive drugs), magnesium sulfate (for severe cases), delivery of the baby (in severe cases)",D148,False,True
Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","Medications to relieve symptoms and improve heart function (such as beta-blockers, calcium channel blockers, and disopyramide), medications to prevent abnormal heart rhythms (such as anti-arrhythmic drugs), medications to reduce blood clotting (such as aspirin or anticoagulants), implantable cardioverter-defibrillator (ICD) placement (to monitor and correct abnormal heart rhythms), septal myectomy (surgical removal of a portion of the thickened heart muscle), alcohol septal ablation (destruction of excess heart muscle with alcohol injection), lifestyle modifications (such as avoiding strenuous activities, managing stress, and maintaining a healthy weight), regular follow-up visits with a cardiologist",D149,True,True
Nonalcoholic Liver Disease (NASH),"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance","Lifestyle changes (weight loss, healthy diet, regular exercise), management of underlying conditions, medication as needed",D150,True,True
Amyloidosis,"Fatigue, weight loss, organ dysfunction",Treatment depends on the type and extent of organ damage,D151,True,False
Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",D152,False,False
Fracture of the Rib,"Chest pain, difficulty breathing, tenderness or swelling over the ribcage","Pain management, rest, immobilization (splinting or bracing), physical therapy",D153,False,True
Breast Cancer,"Breast lump, changes in breast size or shape, nipple changes, breast pain","Surgery (lumpectomy or mastectomy), radiation therapy, chemotherapy, hormone therapy, targeted therapy",D154,False,True
Neuromyelitis Optica,"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)","High-dose corticosteroids, plasma exchange (to remove antibodies from the blood), immunosuppressive therapy (such as azathioprine or rituximab), supportive care to manage symptoms, physical therapy or rehabilitation for functional recovery",D155,False,True
Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting","Glasses, Patching therapy, Vision therapy, Botox injections, Surgical intervention",D156,True,True
Meniere Disease,"Vertigo, hearing loss, tinnitus, ear fullness","Medications (diuretics, anti-vertigo drugs), lifestyle changes",D157,False,True
Pituitary Adenoma,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments","Observation and monitoring (for small, non-secreting tumors that are not causing significant symptoms), medication (to manage hormonal imbalances or reduce tumor size), surgery (transsphenoidal surgery to remove the tumor), radiation therapy (in cases where surgery is not possible or to treat residual or recurrent tumors), targeted therapy (in cases of aggressive or resistant tumors), hormone replacement therapy (if necessary), regular follow-up and monitoring to assess tumor growth and hormone levels, management of associated complications or hormone deficiencies",D158,True,True
Ischemia of the Bowel,"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure","diagnostic tests, intravenous fluids and medications to stabilize the patient, bowel rest, resection, bypass procedure, potential angioplasty",D159,True,True
Hydrocele of the Testicle,Swelling of the scrotum,"Observation, surgical drainage (in some cases)",D160,False,False
Endometrial Cancer,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits","Surgery (hysterectomy), radiation therapy, chemotherapy, hormone therapy",D161,False,True
Endometriosis,"Pelvic pain, painful periods, infertility","Pain medications, hormonal therapies, surgery",D162,False,True
Hydronephrosis,"Flank pain, urinary frequency, swelling in the abdomen","Treating underlying cause, medications, ureteral stent, surgery",D163,False,True
Bell Palsy,"Facial weakness or paralysis, drooping of the mouth or eyelid","Corticosteroids, antiviral medications, eye protection, physical therapy",D164,False,True
Abscess of Nose,"Pain, swelling, redness, discharge from the nose","Antibiotics, warm compresses, surgical drainage (in severe cases)",D165,False,False
Bladder Disorder,"Frequent urination, urgency, pelvic pain","Medications, bladder training, lifestyle changes",D166,False,True
Emphysema,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss","Smoking cessation (the most important intervention), medications to manage symptoms (such as bronchodilators, inhaled corticosteroids), pulmonary rehabilitation (exercise training, breathing techniques), supplemental oxygen therapy (in advanced cases), vaccination against respiratory infections, avoiding exposure to irritants (such as secondhand smoke or air pollutants), regular monitoring of symptoms and lung function, surgical interventions (such as lung volume reduction surgery or lung transplantation)",D167,True,True
Extrapyramidal Effect of Drugs,"Muscle stiffness, tremors, involuntary movements","Adjusting medication dosage, switching to alternative medications",D168,False,True
Vasculitis,"Inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","Treatment depends on the type and severity of vasculitis. It may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)",D169,True,True
Female Infertility of Unknown Cause,"Inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other","Fertility testing and evaluation (hormone tests, imaging, genetic screening), lifestyle modifications (healthy diet, regular exercise, stress reduction), fertility treatments (assisted reproductive technologies, fertility medications)",D170,False,True
Syringomyelia,"Muscle weakness, loss of sensation, chronic pain","Surgical decompression, draining of syrinx (cyst), physical therapy, pain management techniques",D171,False,True
Von Hippel-Lindau Disease,"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts","Regular monitoring and surveillance to detect and manage tumor growth and associated complications, surgical removal or treatment of tumors if necessary, embolization or radiation therapy for certain tumors, medication or surgery to manage hormonal issues (such as pheochromocytomas), genetic counseling and testing, screening and management for other potential complications (such as kidney function monitoring)",D172,False,True
Hemorrhoids,"Swollen, itchy, or painful veins in the rectal area","Increasing fiber intake, staying hydrated, avoiding straining during bowel movements, warm sitz baths, topical creams or ointments, over-the-counter pain relievers (after consulting with a healthcare provider)",D173,False,False
Bursitis,"Joint pain, swelling, tenderness, limited range of motion","Rest, ice, compression, elevation (RICE therapy), pain relievers, physical therapy, steroid injections",D174,False,True
Cannabis Use Disorder,"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",D175,False,True
Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Medications (such as beta-blockers, calcium channel blockers), pacemaker implantation (in severe cases or symptomatic heart block), underlying condition management",D176,True,True
Hemolytic Anemia,"Fatigue, weakness, pale skin, shortness of breath, jaundice","Treatment of underlying cause, blood transfusions, medications (immunosuppressants, corticosteroids), splenectomy (in some cases), supportive care, folic acid or iron supplementation",D177,True,True
Benzodiazepine Use Disorder,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)","Gradual tapering off benzodiazepines under medical supervision, counseling or therapy (such as cognitive-behavioral therapy), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",D178,False,True
Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations","Medications, lifestyle changes, surgical repair or replacement of the valve (in severe cases)",D179,True,True
Varicose Veins,"Enlarged, swollen veins, often in the legs","Elevating legs, wearing compression stockings, regular exercise, avoiding prolonged sitting or standing, maintaining a healthy weight",D180,False,False
Recurrent salivary stones,Frequent episodes of stone formation,"Hydration,Saliva stimulation, Stone removal",D181,False,False
Ocular Hypertension,Elevated intraocular pressure without optic nerve damage,"Observation with regular eye exams, use of eye drops to lower intraocular pressure (if necessary)",D182,False,False
Colonic Polyp,"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.","Polypectomy (removal of polyp during colonoscopy), surveillance colonoscopy (regular monitoring for recurrence or new polyps), lifestyle modifications (healthy diet, regular exercise, smoking cessation), follow-up based on pathology findings",D183,False,True
Indigestion,"Abdominal pain, bloating, heartburn, nausea, acidic taste","Lifestyle changes (e.g., dietary modifications, stress reduction), over-the-counter antacids, medication, therapy",D184,False,True
Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights","Medications (eye drops), laser therapy, surgery (in some cases)",D185,False,True
Hypoglycemia,"Shaking, dizziness, confusion, sweating","Consuming glucose or sugar-containing foods, adjusting medication or insulin dosage",D186,False,True
Sciatica,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","Rest, gentle stretching exercises, warm or cold compresses, prenatal massages, maintaining good posture, avoiding activities that worsen the pain",D187,False,False
Type 2 Diabetes,"Fatigue, Increased hunger, Slow healing of wounds","Oral medications, Insulin therapy (in some cases), Blood sugar monitoring, Exercise",D067,True,True
Cystic Fibrosis,"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","Medications (mucus-thinning drugs, bronchodilators), chest physical therapy, enzyme supplements, lung transplant (in severe cases)",D188,True,True
Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen",D189,False,True
Peritonsillar Abscess,"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","Antibiotics to treat infection, drainage of the abscess (needle aspiration or incision and drainage), pain relievers, warm saltwater gargles, rest, fluids, surgical removal of the tonsils (in chronic or recurrent cases)",D190,True,True
Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","Antiparasitic medications, treatment of complications, vector control measures (in endemic areas)",D191,True,True
Pulmonary Congestion,"Shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","Diuretics, medications to manage underlying conditions (e.g., heart failure), oxygen therapy, lifestyle changes",D192,True,True
Magnesium Deficiency,"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","Dietary changes (consuming magnesium-rich foods), oral magnesium supplements, intravenous magnesium therapy (in severe cases), addressing underlying causes (e.g., malabsorption), medical supervision and monitoring",D193,True,True
Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion","Immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)",D194,False,True
Thrombophlebitis,"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever","Medications to manage pain and inflammation, compression stockings or bandages to promote blood flow, elevation of the affected limb, warm compresses, regular movement and exercise, treatment of underlying causes (such as infection or intravenous catheter removal), anticoagulant therapy to prevent clot formation or progression",D195,True,True
Encephalitis,"Headache, fever, confusion, seizures, neurological symptoms","Hospitalization, antiviral medications (if caused by a viral infection), supportive care",D196,True,True
Fat Embolism,"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms","Supportive care (oxygen therapy, fluid resuscitation), managing symptoms (pain medication, anticoagulants), treatment of underlying cause if possible",D197,False,True
Cyst of the Eyelid,"Painful lump or swelling on the eyelid, redness, tenderness","Warm compresses, good eyelid hygiene, antibiotic ointments (if infected), surgical removal (if necessary)",D198,False,False
Dislocation of the Patella,"Knee pain, swelling, inability to straighten the leg","Manual reduction, immobilization, physical therapy",D199,False,True
Conjunctivitis due to Allergy,"Redness, itching, watery discharge, swollen eyelids","Allergen avoidance, antihistamine eye drops, cold compresses, lubricating eye drops",D200,False,False
Coagulation (Bleeding) Disorder,"Easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding","Blood transfusions, clotting factor replacement therapy, medications to stimulate clotting, lifestyle modifications, surgery (in some cases)",D201,False,True
Idiopathic Absence of Menstruation,Lack of menstrual periods,"Evaluation to determine underlying cause, hormone therapy",D202,False,True
Migraine,"Severe headaches, nausea, sensitivity to light and sound","Pain-relieving medications, lifestyle changes, preventive medications",D203,False,True
Temporomandibular Joint Disorder,"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth","Self-care measures (rest, applying heat or cold, jaw exercises), pain medications, physical therapy, oral splints",D204,False,True
Vitamin A Deficiency,"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","Vitamin A supplementation, dietary changes to include foods rich in vitamin A",D205,False,False
Glucocorticoid Deficiency,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain",Hormone replacement therapy with glucocorticoid medications,D206,True,True
Astigmatism,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea","Eyeglasses, contact lenses, refractive surgery (LASIK, PRK), orthokeratology, toric intraocular lenses",D207,False,False
Low-Tension Glaucoma,"Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",D208,False,True
Headache after lumbar puncture,throbbing headache,"Epidural blood patch, Conservative measures",D209,False,False
Flat Feet,"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling","Supportive footwear, orthotic inserts, physical therapy exercises, pain management, surgery (in severe cases)",D210,True,True
Carbon Monoxide Poisoning,"Headache, dizziness, nausea, confusion","Fresh air, oxygen therapy, immediate medical attention",D211,False,True
Orbital Cellulitis,"Eye pain, swelling, redness, vision changes","Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)",D212,False,False
Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Identification and treatment of underlying causes (such as parasitic infections, drug reactions, or allergic reactions), corticosteroids (such as prednisone) to reduce inflammation, bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow, antiparasitic medications (if parasitic infection is identified), immunosuppressive medications (in severe cases), avoidance of triggers or allergens (if identified), symptomatic treatment for associated symptoms (such as fever or cough), regular monitoring and follow-up with a healthcare professional",D213,True,True
Antimicrobial Drugs Poisoning,"Nausea, vomiting, diarrhea, neurological symptoms","Immediate medical attention, supportive care, antidote administration",D214,False,False
Eczema,"Itchy, red, inflamed skin, rash","Emollients (moisturizers), topical corticosteroids or immunomodulators, avoiding triggers",D215,False,False
Pneumonia,"Cough, fever, chest pain, difficulty breathing","Antibiotics, antiviral medications (if applicable), rest, fluids, symptomatic relief",D216,True,True
Intestinal Malabsorption,"Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive","Dietary modifications (specific to the underlying cause), supplementation of deficient nutrients, medications (to manage symptoms or underlying condition), treatment of underlying cause",D217,True,True
Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound","Medications, surgical intervention, hearing aids",D218,False,True
Pinworm Infection,"Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite","Anthelmintic medication, hygiene measures (handwashing, trimming nails, laundering bedding), treatment for household members",D219,False,True
Esophageal Varices,"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools","Medications (beta-blockers, vasoconstrictors), endoscopic therapies, band ligation, transjugular intrahepatic portosystemic shunt (TIPS), surgical interventions",D220,False,True
Dermatitis due to Sun Exposure,"Sunburn-like rash, redness, itching","Moisturizers, cool compresses, topical corticosteroids",D221,False,False
Gonorrhea,"Painful urination, abnormal discharge from the genitals, pelvic pain","Antibiotics (dual therapy with ceftriaxone and azithromycin), safe sexual practices, partner notification",D222,False,True
Chronic Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue","Saline nasal irrigation, nasal corticosteroids, antibiotics (in bacterial cases), decongestants, pain relievers, surgery (in severe or chronic cases)",D223,True,True
Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries",D224,False,True
Parathyroid Adenoma,"Fatigue, weakness, bone pain, frequent urination, kidney stones","Surgical removal of the adenoma (parathyroidectomy), medications to manage calcium levels",D225,True,True
Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Symptomatic relief (pain relievers, throat lozenges, mouth rinses), rest, fluids, maintaining good oral hygiene, avoiding spicy or acidic foods",D226,True,False
Conversion Disorder,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking","Psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy), physical therapy or rehabilitation (to improve physical function and reduce disability), addressing underlying stressors or psychological factors, supportive care and reassurance, potentially medications (such as antidepressants or anti-anxiety medications)",D227,False,True
Lymphedema,"Swelling in arms or legs, feeling of heaviness or tightness","Compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)",D228,False,True
Hirschsprung Disease,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)",Surgery to remove the affected part of the colon (pull-through procedure),D229,False,True
Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue, loss of appetite","Medications (nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs), physical therapy, exercise",D230,True,True
Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","Growth hormone therapy, Estrogen replacement therapy, Cardiac and renal evaluations",D231,False,True
Sciatica,Pain radiating from the lower back to the leg,"Pain medications, physical therapy, stretching exercises",D187,False,True
Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Immediate medical attention is required. Treatment may include: intravenous antibiotics or antifungal medications, intravitreal injections (injections of antibiotics or antifungal agents directly into the eye), vitrectomy (surgical removal of the gel-like fluid within the eye), topical or oral medications (to manage pain, inflammation, or infection), frequent follow-up visits with an ophthalmologist, supportive care (such as warm compresses or lubricating eye drops)",D232,True,True
Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding","Supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)",D233,True,True
Premature Ventricular Contractions (PVCs),"Skipped or extra heartbeats, palpitations, lightheadedness","Monitoring (in most cases), lifestyle changes, medications (beta-blockers, antiarrhythmics)",D234,False,True
Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Intravenous antibiotics, airway management, surgical drainage",D235,True,False
Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia","Antifungal medication (e.g., Amphotericin B, Fluconazole), supportive care",D236,True,True
Diabetic Kidney Disease,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","Blood pressure control, blood sugar control, medications to protect the kidneys (such as ACE inhibitors or ARBs), lifestyle modifications (healthy diet, regular exercise, quitting smoking), management of underlying diabetes, treatment of complications (such as dialysis or kidney transplantation in advanced stages)",D237,True,True
Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability","Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy",D238,False,True
Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat","Detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)",D239,False,True
Urge Incontinence,"Sudden, intense urge to urinate followed by involuntary urine leakage","Behavioral therapies (bladder training, pelvic floor exercises), medications (anticholinergics, beta-3 agonists), medical devices",D240,False,True
Dengue Fever,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies","Supportive care (hydration, pain relievers, rest), monitoring, medical attention for severe cases (fluid replacement, blood transfusion, hospitalization)",D241,True,True
Lead Poisoning,"Fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia","Removal of lead source, chelation therapy (in severe cases), supportive care, medication to manage symptoms, addressing complications (such as anemia)",D242,True,True
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Topical medications (e.g., fluorouracil, imiquimod, diclofenac), cryotherapy, curettag",D243,False,True
Choledocholithiasis,"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy ","Non-surgical treatment options: Medications to manage pain and discomfort, antibiotics",D244,False,True
Head and Neck Cancer,"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss","Treatment depends on the specific type and stage of cancer, and may include surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",D245,True,True
Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin","Symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs",D246,True,True
Peritonitis,"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate","Intravenous antibiotics to treat the infection, intravenous fluids to restore hydration, drainage or removal of any underlying fluid or abscess, surgery to repair or remove the source of infection",D247,True,False
Anemia of Chronic Disease,"Fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance","Treating the underlying chronic disease, addressing nutritional deficiencies, blood transfusions (in severe cases)",D248,True,True
Ovarian Torsion,"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting","Emergency medical attention (as ovarian torsion is a medical emergency), imaging tests (such as ultrasound or CT scan) to diagnose torsion, surgical intervention (laparoscopic or open surgery) to untwist the ovary and restore blood flow, removal of the ovary (if it is damaged or non-viable), pain management (medications for pain relief)",D249,True,True
Sciatica,"Lower back pain, leg pain, numbness or tingling","Pain relievers, physical therapy, exercise",D187,False,True
Lupus,"Joint pain, fatigue, skin rashes","Medications (anti-inflammatory, immunosuppressants), lifestyle modifications",D250,True,True
Neonatal Jaundice,"Yellowing of the skin and eyes, pale stools, dark urine","Phototherapy, exchange transfusion (in severe cases), monitoring of bilirubin levels, addressing underlying causes (e.g., breastfeeding)",D251,False,True
Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools","Blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding",D252,False,True
Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight","Reduction (realigning the bones), immobilization, rehab",D253,False,False
Vaginal Cyst,"Small lump or swelling in the vaginal wall, discomfort or pain during intercourse","Observation (if asymptomatic), warm compresses, sitz baths, surgical removal (if necessary)",D254,False,False
Orthorexia Nervosa,"Obsessive focus on ""clean"" eating, healthy food choices","Psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy), nutrition education, challenging distorted beliefs, addressing underlying issues",D255,False,True
Urinary Tract Infection (UTI),"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain","Antibiotics, increased fluid intake, pain relievers",D256,False,False
Placenta Previa,"Vaginal bleeding, painless bleeding in the third trimester","Bed rest, avoiding strenuous activity, frequent prenatal check-ups, potential hospitalization, potential cesarean delivery",D257,False,False
